ts,gpu_w,gpu_busy_pct,gpu_vram_mib,gpu_temp_c,cpu_pkg_w,cpu_util_pct,mem_used_mib
1789627841.958,32.16,0.0,7456.0,47.0,3.53,1.3,4052
1789627843.006,11.96,0.0,7456.0,47.0,3.33,0.9,4049
1789627844.054,11.61,0.0,7456.0,46.0,3.21,0.4,4052
1789627845.092,11.13,0.0,7456.0,46.0,3.24,0.4,4068
1789627846.139,11.1,0.0,7456.0,46.0,3.12,0.4,4060
1789627847.181,11.11,0.0,7456.0,46.0,3.21,0.4,4050
1789627848.229,11.04,0.0,7456.0,46.0,2.96,0.4,4054
1789627849.275,11.02,0.0,7456.0,45.0,3.2,0.7,4071
1789627850.322,10.94,0.0,7456.0,45.0,3.0,0.4,4071
1789627851.369,10.78,0.0,7456.0,45.0,3.06,0.5,4078
1789627852.415,10.77,0.0,7456.0,45.0,2.95,0.2,4079
1789627853.457,10.82,0.0,7456.0,45.0,3.49,0.5,4079
1789627854.504,10.26,0.0,7456.0,45.0,3.1,0.3,4094
1789627855.544,10.48,0.0,7456.0,44.0,3.04,0.5,4081
1789627856.586,10.62,0.0,7456.0,44.0,3.05,0.3,4067
1789627857.632,10.58,0.0,7456.0,44.0,3.3,0.6,4059
1789627858.673,10.58,0.0,7456.0,44.0,2.92,0.3,4075
1789627859.720,10.58,0.0,7456.0,44.0,3.05,0.5,4091
1789627860.765,10.56,0.0,7456.0,43.0,3.13,0.3,4070
1789627861.807,10.44,0.0,7456.0,43.0,3.31,0.4,4066
1789627862.854,10.35,0.0,7456.0,43.0,3.17,0.5,4067
1789627863.894,10.27,0.0,7456.0,43.0,3.11,0.5,4072
1789627864.941,10.18,0.0,7456.0,43.0,3.11,0.4,4082
1789627865.981,10.19,0.0,7456.0,43.0,3.02,0.4,4078
1789627867.024,10.11,0.0,7456.0,42.0,3.16,0.4,4079
1789627868.071,10.04,0.0,7456.0,42.0,2.94,0.4,4074
1789627869.113,10.03,0.0,7456.0,42.0,3.1,0.4,4076
1789627870.156,10.01,0.0,7456.0,42.0,3.21,0.4,4093
1789627871.199,10.0,0.0,7456.0,42.0,3.14,0.6,4084
1789627872.246,9.97,0.0,7456.0,42.0,2.61,0.4,4079
1789627873.288,9.94,0.0,7456.0,42.0,3.59,0.5,4073
1789627874.334,9.92,0.0,7456.0,42.0,2.93,0.4,4088
1789627875.382,9.83,0.0,7456.0,42.0,3.11,0.4,4085
1789627876.426,9.82,0.0,7456.0,41.0,3.31,0.4,4080
1789627877.459,9.82,0.0,7456.0,41.0,3.18,0.4,4072
1789627878.493,9.68,0.0,7456.0,41.0,3.06,0.3,4060
1789627879.539,9.68,0.0,7456.0,41.0,3.23,0.5,4065
1789627880.579,9.79,0.0,7456.0,41.0,2.95,0.4,4064
1789627881.625,9.76,0.0,7456.0,41.0,3.34,0.6,4062
1789627882.671,9.69,0.0,7456.0,40.0,3.17,0.3,4061
1789627883.714,9.7,0.0,7456.0,40.0,3.16,0.4,4068
1789627884.761,9.65,0.0,7456.0,40.0,3.02,0.4,4069
1789627885.794,42.8,0.0,7462.0,46.0,6.83,11.0,4167
1789627886.820,199.05,96.0,7462.0,53.0,14.27,29.1,4178
1789627887.846,198.91,96.0,7462.0,55.0,14.31,29.6,4197
1789627888.873,199.6,95.0,7462.0,56.0,14.06,29.4,4176
1789627889.899,199.17,95.0,7462.0,56.0,13.84,29.2,4183
1789627890.925,199.01,95.0,7462.0,57.0,14.52,29.3,4171
1789627891.952,199.11,95.0,7462.0,58.0,14.39,29.5,4166
1789627892.977,199.22,96.0,7462.0,58.0,14.21,29.2,4168
1789627894.003,199.02,95.0,7462.0,59.0,14.45,29.3,4183
1789627895.029,172.28,80.0,7462.0,53.0,13.13,27.0,4189
1789627896.054,164.78,100.0,7466.0,59.0,12.87,26.7,4320
1789627897.079,199.33,100.0,7466.0,60.0,14.39,34.0,4311
1789627898.105,199.0,100.0,7466.0,60.0,13.88,30.9,4316
1789627899.131,199.09,100.0,7466.0,61.0,14.38,32.8,4311
1789627900.158,199.29,95.0,7466.0,61.0,13.49,25.7,4408
1789627901.182,174.98,94.0,7468.0,61.0,13.25,25.9,4713
1789627902.208,198.81,95.0,7468.0,61.0,14.06,29.4,4706
1789627903.235,199.11,95.0,7468.0,62.0,14.03,29.2,4698
1789627904.261,199.11,95.0,7468.0,62.0,14.18,29.2,4698
1789627905.290,165.07,100.0,7468.0,62.0,12.74,27.7,4811
1789627906.316,199.3,100.0,7468.0,63.0,14.34,32.8,4828
1789627907.342,199.52,100.0,7468.0,64.0,14.0,31.4,4845
1789627908.368,199.06,100.0,7468.0,64.0,14.42,32.5,4845
1789627909.394,198.93,96.0,7468.0,64.0,13.54,26.8,4841
1789627910.421,199.45,96.0,7468.0,64.0,14.86,29.3,4839
1789627911.447,199.28,96.0,7468.0,64.0,14.87,29.2,4826
1789627912.473,199.63,95.0,7468.0,65.0,14.75,29.5,4842
1789627913.499,199.18,96.0,7468.0,65.0,14.83,29.4,4836
1789627914.527,199.03,96.0,7468.0,65.0,14.48,29.3,4840
1789627915.553,199.38,96.0,7468.0,65.0,14.58,28.9,4863
1789627916.577,175.53,96.0,7468.0,65.0,13.39,25.6,5193
1789627917.603,198.89,95.0,7468.0,66.0,14.44,29.2,5207
1789627918.629,198.79,95.0,7468.0,66.0,14.51,29.4,5218
1789627919.656,198.8,96.0,7468.0,66.0,14.46,29.5,5216
1789627920.682,199.16,93.0,7468.0,66.0,14.12,29.3,5204
1789627921.708,198.9,95.0,7468.0,67.0,14.39,29.0,5203
1789627922.734,199.17,95.0,7468.0,67.0,14.34,29.3,5194
1789627923.761,199.42,95.0,7468.0,67.0,14.28,29.4,5194
1789627924.786,199.23,95.0,7468.0,68.0,14.16,29.2,5194
1789627925.812,199.2,93.0,7468.0,68.0,14.4,29.5,5178
1789627926.838,118.42,0.0,7468.0,66.0,8.81,15.0,5307
1789627927.865,199.57,100.0,7468.0,68.0,14.34,32.7,5280
1789627928.891,199.73,100.0,7468.0,69.0,14.36,32.3,5273
1789627929.917,199.78,100.0,7468.0,69.0,14.37,31.8,5278
1789627930.943,198.6,100.0,7468.0,69.0,13.45,27.8,5357
1789627931.970,176.74,95.0,7468.0,69.0,13.27,25.7,5712
1789627932.999,199.31,95.0,7468.0,69.0,14.6,29.4,5710
1789627934.025,199.61,95.0,7468.0,69.0,14.3,29.3,5712
1789627935.053,199.39,95.0,7468.0,70.0,14.23,29.8,5703
1789627936.077,163.29,100.0,7468.0,70.0,12.31,24.6,5738
1789627937.103,199.27,100.0,7468.0,70.0,14.78,33.9,5737
1789627938.128,199.4,100.0,7468.0,71.0,14.17,31.4,5741
1789627939.155,199.4,100.0,7468.0,71.0,14.49,32.5,5737
1789627940.182,198.81,96.0,7468.0,71.0,13.44,25.9,5793
1789627941.207,176.55,95.0,7468.0,70.0,13.55,25.3,6155
1789627942.233,199.61,96.0,7468.0,71.0,14.5,29.3,6159
1789627943.259,199.4,95.0,7468.0,71.0,14.37,29.3,6150
1789627944.284,199.15,95.0,7468.0,71.0,14.4,29.4,6145
1789627945.313,199.06,95.0,7468.0,71.0,14.39,29.6,6122
1789627946.341,199.58,95.0,7468.0,71.0,14.02,29.1,6130
1789627947.367,199.3,94.0,7468.0,71.0,14.2,29.3,6113
1789627948.392,199.09,96.0,7468.0,71.0,13.89,29.5,6096
1789627949.418,198.99,96.0,7468.0,71.0,14.04,29.3,6091
1789627950.446,198.74,96.0,7468.0,71.0,14.32,29.6,6073
1789627951.471,187.15,94.0,7468.0,69.0,13.84,30.3,6073
1789627952.494,120.28,100.0,7468.0,70.0,9.27,14.6,6194
1789627953.521,199.42,100.0,7468.0,71.0,14.28,32.1,6191
1789627954.547,199.64,100.0,7468.0,71.0,14.5,33.0,6199
1789627955.573,199.44,100.0,7468.0,72.0,14.07,30.4,6201
1789627956.600,198.88,100.0,7468.0,72.0,13.74,28.2,6264
1789627957.625,177.78,81.0,7468.0,70.0,14.42,30.0,6609
1789627958.651,199.82,95.0,7468.0,71.0,14.35,29.1,6606
1789627959.678,199.54,96.0,7468.0,71.0,14.43,29.4,6597
