ts,gpu_w,gpu_busy_pct,gpu_vram_mib,gpu_temp_c,cpu_pkg_w,cpu_util_pct,mem_used_mib
1789627837.610,10.0,0.0,31786.2421875,41.0,19.0,0.5,5922
1789627838.611,8.0,0.0,31786.2421875,38.0,19.19,0.0,5921
1789627839.612,8.0,0.0,31786.2421875,38.0,20.93,0.0,5920
1789627840.614,8.0,0.0,31786.2421875,37.0,22.99,0.0,5911
1789627841.615,8.0,0.0,31786.2421875,37.0,21.77,0.1,5909
1789627842.616,8.0,0.0,31786.2421875,37.0,20.54,0.0,5896
1789627843.618,8.0,0.0,31786.2421875,37.0,22.05,0.0,5895
1789627844.620,8.0,0.0,31786.2421875,37.0,22.04,0.0,5885
1789627845.622,8.0,0.0,31786.2421875,37.0,20.07,0.1,5885
1789627846.623,8.0,0.0,31786.2421875,37.0,21.5,0.0,5878
1789627847.625,8.0,0.0,31786.2421875,37.0,21.41,0.1,5877
1789627848.626,8.0,0.0,31786.2421875,37.0,19.98,0.0,5871
1789627849.628,8.0,0.0,31786.2421875,37.0,16.57,0.0,5869
1789627850.630,8.0,0.0,31786.2421875,37.0,24.63,0.0,5862
1789627851.632,8.0,0.0,31786.2421875,37.0,20.33,0.0,5861
1789627852.633,8.0,0.0,31786.2421875,37.0,21.43,0.1,5856
1789627853.634,8.0,0.0,31786.2421875,37.0,21.0,0.0,5856
1789627854.636,8.0,0.0,31786.2421875,37.0,16.51,0.0,5851
1789627855.637,8.0,0.0,31786.2421875,37.0,23.03,0.0,5851
1789627856.639,8.0,0.0,31786.2421875,37.0,20.69,0.0,5847
1789627857.640,8.0,0.0,31786.2421875,37.0,21.55,0.0,5847
1789627858.642,8.0,0.0,31786.2421875,37.0,21.62,0.0,5844
1789627859.644,8.0,0.0,31786.2421875,37.0,20.8,0.2,5844
1789627860.645,8.0,0.0,31786.2421875,37.0,21.45,0.0,5841
1789627861.646,8.0,0.0,31786.2421875,37.0,21.17,0.0,5841
1789627862.647,8.0,0.0,31786.2421875,37.0,19.82,0.0,5839
1789627863.649,8.0,0.0,31786.2421875,37.0,18.57,0.1,5839
1789627864.652,8.0,0.0,31786.2421875,37.0,19.05,0.0,5837
1789627865.653,8.0,0.0,31786.2421875,37.0,23.53,0.0,5835
1789627866.655,8.0,0.0,31786.2421875,37.0,17.6,0.0,5835
1789627867.656,8.0,0.0,31786.2421875,36.0,25.43,0.1,5835
1789627868.657,8.0,0.0,31786.2421875,36.0,17.66,0.0,5833
1789627869.659,8.0,0.0,31786.2421875,36.0,21.32,0.1,5832
1789627870.661,8.0,0.0,31786.2421875,36.0,16.63,0.0,5832
1789627871.662,8.0,0.0,31786.2421875,36.0,26.76,0.1,5831
1789627872.664,8.0,0.0,31786.2421875,36.0,21.22,0.0,5830
1789627873.666,8.0,0.0,31786.2421875,36.0,18.63,0.0,5830
1789627874.668,8.0,0.0,31786.2421875,36.0,20.96,0.1,5829
1789627875.669,8.0,0.0,31786.2421875,36.0,20.52,0.1,5829
1789627876.670,8.0,0.0,31786.2421875,36.0,21.35,0.0,5828
1789627877.671,8.0,0.0,31786.2421875,36.0,23.05,0.0,5828
1789627878.673,8.0,0.0,31786.2421875,36.0,19.22,0.0,5828
1789627879.675,8.0,0.0,31786.2421875,36.0,19.45,0.1,5828
1789627880.677,115.0,64.0,31798.21875,43.0,29.56,1.6,5987
1789627881.678,301.0,98.0,31798.21875,71.0,28.9,2.1,5987
1789627882.679,299.0,98.0,31798.21875,74.0,29.0,2.2,5987
1789627883.680,300.0,98.0,31798.21875,75.0,28.93,2.1,5987
1789627884.681,299.0,98.0,31798.21875,75.0,28.84,2.1,5987
1789627885.682,299.0,98.0,31798.21875,76.0,28.78,2.1,5987
1789627886.682,300.0,98.0,31798.21875,76.0,28.82,2.1,5987
1789627887.683,300.0,98.0,31798.21875,77.0,28.77,2.1,5987
1789627888.683,299.0,98.0,31798.21875,77.0,28.84,2.1,5987
1789627889.684,300.0,98.0,31798.21875,78.0,28.82,2.1,5987
1789627890.684,300.0,98.0,31798.21875,78.0,28.85,2.1,5987
1789627891.686,300.0,98.0,31798.21875,79.0,28.89,2.1,5987
1789627892.687,299.0,98.0,31798.21875,79.0,28.87,2.1,5987
1789627893.688,300.0,98.0,31798.21875,80.0,28.82,2.1,5987
