2026/09/25 20:16:42.893, 22.90 W, 0 %, 14 MiB
2026/09/25 20:16:43.401, 22.90 W, 0 %, 14 MiB
2026/09/25 20:16:43.901, 17.28 W, 0 %, 14 MiB
2026/09/25 20:16:44.402, 17.28 W, 0 %, 14 MiB
2026/09/25 20:16:44.902, 10.40 W, 0 %, 14 MiB
2026/09/25 20:16:45.402, 10.40 W, 0 %, 154 MiB
2026/09/25 20:16:45.903, 15.61 W, 1 %, 5550 MiB
2026/09/25 20:16:46.403, 23.53 W, 92 %, 6290 MiB
2026/09/25 20:16:46.903, 45.98 W, 7 %, 6290 MiB
2026/09/25 20:16:47.403, 100.56 W, 100 %, 6290 MiB
2026/09/25 20:16:47.903, 153.44 W, 100 %, 6308 MiB
2026/09/25 20:16:48.403, 164.14 W, 75 %, 6308 MiB
2026/09/25 20:16:48.903, 164.76 W, 100 %, 6308 MiB
2026/09/25 20:16:49.403, 164.70 W, 100 %, 6308 MiB
2026/09/25 20:16:49.904, 166.84 W, 97 %, 6308 MiB
2026/09/25 20:16:50.404, 167.33 W, 100 %, 6308 MiB
2026/09/25 20:16:50.904, 167.37 W, 100 %, 6308 MiB
2026/09/25 20:16:51.404, 167.48 W, 100 %, 6308 MiB
2026/09/25 20:16:51.904, 167.83 W, 100 %, 6308 MiB
2026/09/25 20:16:52.404, 168.26 W, 100 %, 6308 MiB
2026/09/25 20:16:52.904, 168.04 W, 100 %, 6308 MiB
2026/09/25 20:16:53.404, 168.18 W, 100 %, 6308 MiB
2026/09/25 20:16:53.904, 168.48 W, 100 %, 6308 MiB
2026/09/25 20:16:54.404, 168.18 W, 100 %, 6308 MiB
2026/09/25 20:16:54.905, 168.67 W, 100 %, 6308 MiB
2026/09/25 20:16:55.405, 168.78 W, 100 %, 5888 MiB
2026/09/25 20:16:55.905, 168.19 W, 99 %, 5888 MiB
2026/09/25 20:16:56.405, 183.18 W, 99 %, 5888 MiB
2026/09/25 20:16:56.905, 199.45 W, 100 %, 5888 MiB
2026/09/25 20:16:57.405, 199.43 W, 99 %, 5888 MiB
2026/09/25 20:16:57.905, 199.23 W, 99 %, 5888 MiB
2026/09/25 20:16:58.405, 199.29 W, 100 %, 5888 MiB
2026/09/25 20:16:58.905, 199.48 W, 99 %, 5888 MiB
2026/09/25 20:16:59.406, 198.32 W, 92 %, 5888 MiB
2026/09/25 20:16:59.906, 198.46 W, 99 %, 5888 MiB
2026/09/25 20:17:00.406, 198.06 W, 99 %, 5888 MiB
2026/09/25 20:17:00.906, 199.20 W, 100 %, 5888 MiB
2026/09/25 20:17:01.406, 198.90 W, 100 %, 5888 MiB
2026/09/25 20:17:01.906, 199.24 W, 99 %, 5888 MiB
2026/09/25 20:17:02.406, 198.98 W, 99 %, 5888 MiB
2026/09/25 20:17:02.906, 199.19 W, 99 %, 5888 MiB
2026/09/25 20:17:03.407, 199.10 W, 100 %, 5888 MiB
2026/09/25 20:17:03.907, 199.00 W, 100 %, 5888 MiB
2026/09/25 20:17:04.407, 199.58 W, 99 %, 5888 MiB
2026/09/25 20:17:04.907, 198.84 W, 100 %, 5888 MiB
2026/09/25 20:17:05.407, 199.32 W, 99 %, 5888 MiB
2026/09/25 20:17:05.907, 199.06 W, 100 %, 5888 MiB
2026/09/25 20:17:06.407, 199.42 W, 99 %, 5888 MiB
2026/09/25 20:17:06.907, 199.08 W, 100 %, 5888 MiB
2026/09/25 20:17:07.407, 199.19 W, 99 %, 5888 MiB
2026/09/25 20:17:07.908, 199.47 W, 99 %, 5888 MiB
2026/09/25 20:17:08.408, 199.08 W, 99 %, 5888 MiB
2026/09/25 20:17:08.908, 199.48 W, 99 %, 5888 MiB
2026/09/25 20:17:09.408, 198.88 W, 100 %, 5888 MiB
2026/09/25 20:17:09.908, 199.40 W, 99 %, 5888 MiB
2026/09/25 20:17:10.408, 198.59 W, 95 %, 5888 MiB
2026/09/25 20:17:10.908, 199.27 W, 99 %, 5888 MiB
2026/09/25 20:17:11.408, 199.28 W, 100 %, 5888 MiB
2026/09/25 20:17:11.908, 199.40 W, 99 %, 5888 MiB
2026/09/25 20:17:12.409, 199.11 W, 100 %, 5888 MiB
2026/09/25 20:17:12.909, 199.18 W, 99 %, 5888 MiB
2026/09/25 20:17:13.409, 199.09 W, 100 %, 192 MiB
2026/09/25 20:17:13.909, 198.53 W, 96 %, 14 MiB
2026/09/25 20:17:14.409, 135.32 W, 0 %, 14 MiB
