ts,gpu_w,gpu_busy_pct,gpu_vram_mib,gpu_temp_c,cpu_pkg_w,cpu_util_pct,mem_used_mib
1789628743.203,19.0,2.0,18538.19140625,50.0,22.83,0.5,5712
1789628744.205,13.0,0.0,18538.19140625,46.0,20.69,0.0,5708
1789628745.206,12.0,0.0,18538.19140625,46.0,20.96,0.0,5708
1789628746.208,12.0,0.0,18538.19140625,45.0,21.65,0.0,5704
1789628747.210,12.0,0.0,18538.19140625,45.0,20.54,0.1,5701
1789628748.212,12.0,0.0,18538.19140625,45.0,21.36,0.0,5696
1789628749.213,12.0,0.0,18538.19140625,44.0,17.37,0.1,5694
1789628750.215,12.0,0.0,18538.19140625,44.0,23.06,0.0,5690
1789628751.216,12.0,0.0,18538.19140625,44.0,21.6,0.0,5685
1789628752.218,12.0,0.0,18538.19140625,44.0,17.98,0.1,5680
1789628753.220,12.0,0.0,18538.19140625,43.0,20.01,0.0,5676
1789628754.221,12.0,0.0,18538.19140625,43.0,20.53,0.1,5672
1789628755.223,12.0,0.0,18538.19140625,43.0,24.54,0.0,5669
1789628756.224,11.0,0.0,18538.19140625,43.0,19.24,0.1,5667
1789628757.226,11.0,0.0,18538.19140625,43.0,18.19,0.0,5666
1789628758.228,11.0,0.0,18538.19140625,42.0,18.86,0.0,5665
1789628759.229,11.0,0.0,18538.19140625,42.0,23.74,0.0,5665
1789628760.231,11.0,0.0,18538.19140625,42.0,22.0,0.1,5664
1789628761.232,11.0,0.0,18538.19140625,42.0,20.24,0.0,5664
1789628762.234,11.0,0.0,18538.19140625,42.0,16.59,0.0,5664
1789628763.236,11.0,0.0,18538.19140625,41.0,26.39,0.0,5664
1789628764.238,11.0,0.0,18538.19140625,41.0,17.36,0.0,5664
1789628765.240,11.0,0.0,18538.19140625,41.0,22.44,0.1,5664
1789628766.241,11.0,0.0,18538.19140625,41.0,20.31,0.0,5664
1789628767.243,11.0,0.0,18538.19140625,41.0,19.43,0.1,5664
1789628768.245,11.0,0.0,18538.19140625,40.0,22.0,0.0,5664
1789628769.247,11.0,0.0,18538.19140625,40.0,21.59,0.1,5664
1789628770.248,11.0,0.0,18538.19140625,40.0,19.57,0.1,5664
1789628771.250,10.0,0.0,18538.19140625,40.0,21.34,0.0,5664
