ts,gpu_w,gpu_busy_pct,gpu_vram_mib,gpu_temp_c,cpu_pkg_w,cpu_util_pct,mem_used_mib
1789628167.484,44.2,0.0,4816.0,54.0,4.28,1.7,3933
1789628168.511,36.9,0.0,4816.0,52.0,3.64,0.4,3927
1789628169.557,13.62,0.0,4816.0,52.0,2.99,0.5,3928
1789628170.605,13.11,0.0,4816.0,51.0,3.37,0.6,3929
1789628171.647,12.58,0.0,4816.0,51.0,3.16,0.3,3931
1789628172.695,12.51,0.0,4816.0,51.0,3.1,0.4,3938
1789628173.738,12.44,0.0,4816.0,50.0,3.1,0.4,3931
1789628174.786,12.39,0.0,4816.0,50.0,3.23,0.4,3935
1789628175.834,12.32,0.0,4816.0,50.0,3.16,0.6,3933
1789628176.877,12.28,0.0,4816.0,50.0,3.15,0.3,3938
1789628177.925,12.23,0.0,4816.0,50.0,3.03,0.4,3941
1789628178.960,12.22,0.0,4816.0,50.0,3.18,0.4,3933
1789628180.004,12.11,0.0,4816.0,49.0,3.08,0.4,3933
1789628181.051,12.04,0.0,4816.0,49.0,3.26,0.5,3928
1789628182.096,12.01,0.0,4816.0,49.0,3.07,0.4,3927
1789628183.144,11.98,0.0,4816.0,49.0,3.1,0.5,3931
1789628184.187,11.96,0.0,4816.0,49.0,3.15,0.4,3939
1789628185.235,11.91,0.0,4816.0,48.0,3.27,0.5,3942
1789628186.283,11.66,0.0,4816.0,48.0,3.1,0.3,3942
1789628187.325,11.65,0.0,4816.0,48.0,3.07,0.4,3945
1789628188.372,11.64,0.0,4816.0,48.0,3.07,0.5,3945
1789628189.419,11.62,0.0,4816.0,47.0,3.12,0.4,3946
1789628190.466,11.65,0.0,4816.0,47.0,3.01,0.5,3946
1789628191.514,11.68,0.0,4816.0,47.0,3.23,0.5,3945
1789628192.562,11.64,0.0,4816.0,47.0,3.23,0.4,3953
1789628193.609,11.6,0.0,4816.0,47.0,3.04,0.5,3940
1789628194.653,11.46,0.0,4816.0,47.0,3.06,0.3,3942
1789628195.696,11.28,0.0,4816.0,46.0,3.28,0.5,3941
1789628196.740,11.18,0.0,4816.0,46.0,2.51,0.3,3938
1789628197.784,11.13,0.0,4816.0,46.0,3.75,0.6,3938
1789628198.831,11.11,0.0,4816.0,46.0,3.1,0.4,3937
1789628199.874,11.1,0.0,4816.0,46.0,2.87,0.4,3935
1789628200.920,11.14,0.0,4816.0,46.0,3.31,0.4,3933
1789628201.966,10.91,0.0,4816.0,45.0,2.97,0.4,3932
1789628203.010,10.91,0.0,4816.0,45.0,2.98,0.5,3933
1789628204.050,11.18,0.0,4816.0,45.0,3.49,0.4,3931
1789628205.099,11.14,0.0,4816.0,45.0,3.05,0.4,3947
1789628206.146,11.03,0.0,4816.0,45.0,3.09,0.4,3949
1789628207.187,10.91,0.0,4816.0,45.0,3.25,0.5,3951
1789628208.229,10.98,0.0,4816.0,45.0,3.11,0.4,3935
1789628209.277,10.57,0.0,4816.0,44.0,3.22,0.6,3933
1789628210.324,11.02,0.0,4820.0,45.0,3.98,3.3,4040
1789628211.353,178.61,95.0,4822.0,56.0,14.51,29.4,4035
1789628212.379,198.8,95.0,4822.0,58.0,14.78,29.4,4032
1789628213.405,198.98,95.0,4822.0,59.0,14.55,29.1,4048
1789628214.431,199.36,95.0,4822.0,60.0,14.7,29.4,4053
1789628215.457,199.56,95.0,4822.0,60.0,14.54,29.3,4065
1789628216.483,199.26,95.0,4822.0,61.0,14.15,29.1,4057
1789628217.508,199.32,95.0,4822.0,61.0,14.4,29.2,4072
1789628218.534,199.29,95.0,4822.0,61.0,14.53,29.2,4078
1789628219.560,199.26,96.0,4822.0,62.0,14.66,29.3,4069
1789628220.587,148.73,100.0,4826.0,62.0,11.15,22.0,4209
1789628221.613,199.24,100.0,4826.0,63.0,14.62,33.9,4195
1789628222.638,199.22,100.0,4826.0,63.0,14.47,33.0,4180
1789628223.665,199.05,100.0,4826.0,64.0,14.09,31.0,4187
1789628224.691,198.46,96.0,4826.0,64.0,13.74,27.6,4244
1789628225.717,176.33,95.0,4828.0,63.0,13.49,25.6,4599
1789628226.743,199.04,95.0,4828.0,64.0,14.32,29.2,4593
1789628227.770,199.44,96.0,4828.0,64.0,14.36,29.2,4571
1789628228.795,199.24,94.0,4828.0,65.0,14.21,29.3,4578
1789628229.821,145.6,0.0,4828.0,63.0,10.98,20.5,4682
1789628230.847,199.35,100.0,4828.0,65.0,14.59,34.1,4699
1789628231.873,199.23,100.0,4828.0,66.0,14.31,32.0,4715
1789628232.899,199.72,100.0,4828.0,66.0,14.42,32.0,4728
1789628233.925,198.89,94.0,4828.0,67.0,13.87,29.6,4770
1789628234.951,198.98,96.0,4828.0,66.0,14.3,27.6,4774
1789628235.977,199.13,95.0,4828.0,67.0,14.6,29.3,4744
1789628237.003,199.39,95.0,4828.0,67.0,14.43,29.4,4749
1789628238.031,199.43,96.0,4828.0,67.0,14.36,29.4,4725
1789628239.056,199.32,96.0,4828.0,68.0,14.37,29.2,4729
1789628240.082,199.36,96.0,4828.0,68.0,14.53,29.2,4735
1789628241.107,173.96,75.0,4828.0,67.0,13.1,25.1,5098
1789628242.133,199.2,95.0,4828.0,68.0,14.13,29.3,5091
1789628243.159,199.23,95.0,4828.0,68.0,14.2,29.5,5106
1789628244.187,199.2,96.0,4828.0,69.0,14.33,29.2,5117
1789628245.213,199.48,95.0,4828.0,69.0,14.44,29.2,5108
1789628246.242,199.04,96.0,4828.0,69.0,14.53,29.5,5085
1789628247.269,199.05,96.0,4828.0,70.0,14.54,29.3,5080
1789628248.295,199.26,96.0,4828.0,70.0,14.58,29.0,5082
1789628249.321,199.72,96.0,4828.0,70.0,14.78,29.5,5066
1789628250.347,199.61,95.0,4828.0,70.0,14.69,29.3,5067
1789628251.374,166.43,95.0,4828.0,67.0,13.5,26.3,5179
1789628252.399,198.48,100.0,4828.0,70.0,14.41,32.1,5186
1789628253.426,198.99,100.0,4828.0,71.0,14.29,31.9,5184
1789628254.452,198.96,100.0,4828.0,71.0,14.49,32.3,5188
1789628255.479,198.22,100.0,4828.0,71.0,13.59,27.9,5212
1789628256.505,169.53,96.0,4828.0,70.0,12.83,24.7,5605
1789628257.531,199.34,96.0,4828.0,71.0,14.79,29.2,5596
1789628258.558,199.07,96.0,4828.0,71.0,14.66,29.1,5592
1789628259.586,199.62,96.0,4828.0,71.0,14.6,29.2,5578
1789628260.611,153.14,100.0,4828.0,71.0,11.8,23.4,5642
1789628261.638,199.87,100.0,4828.0,72.0,14.44,32.3,5654
1789628262.664,199.48,100.0,4828.0,72.0,14.66,33.4,5656
1789628263.690,199.31,100.0,4828.0,72.0,13.91,29.9,5659
1789628264.716,199.01,94.0,4828.0,72.0,13.87,28.5,5717
1789628265.742,177.03,73.0,4828.0,71.0,13.21,25.3,6062
1789628266.768,199.56,96.0,4828.0,71.0,14.51,29.6,6059
1789628267.793,199.55,95.0,4828.0,72.0,14.29,29.2,6052
1789628268.819,198.91,96.0,4828.0,71.0,14.52,29.3,6048
1789628269.847,199.71,96.0,4828.0,71.0,14.71,29.1,6060
1789628270.873,199.49,96.0,4828.0,72.0,14.7,29.3,6047
1789628271.900,199.15,95.0,4828.0,71.0,14.38,29.4,6048
1789628272.925,199.21,95.0,4828.0,72.0,14.43,29.3,6042
1789628273.954,199.14,95.0,4828.0,71.0,14.36,29.6,6025
1789628274.983,199.46,96.0,4828.0,72.0,14.67,29.3,6012
1789628276.009,198.94,96.0,4828.0,72.0,14.49,29.3,6000
1789628277.034,159.53,100.0,4828.0,71.0,12.38,25.0,6107
1789628278.060,199.54,100.0,4828.0,72.0,14.56,32.7,6113
1789628279.087,199.43,100.0,4828.0,72.0,14.3,31.4,6127
1789628280.113,199.67,100.0,4828.0,72.0,14.44,31.8,6121
1789628281.140,199.15,100.0,4828.0,72.0,13.77,27.7,6174
1789628282.166,176.51,78.0,4828.0,71.0,14.46,29.5,6511
1789628283.192,199.48,95.0,4828.0,72.0,14.93,29.4,6496
1789628284.217,199.64,95.0,4828.0,72.0,14.61,29.2,6488
1789628285.243,199.57,95.0,4828.0,72.0,14.33,29.3,6495
